Student Group,Traditional Public Schools,Charter Schools
All Students,0.91,0.92
Male,0.90,0.92
Female,0.91,0.92
Asian or Pacific Islander,0.95,0.95
Hispanic,0.89,0.92
Black – Not of Hispanic Origin,0.88,0.92
White – Not of Hispanic Origin,0.93,0.93
Multi-Racial/Mixed Ethnicity,0.93,0.92
Other,0.90,0.92
General Education,0.91,0.93
Special Education,0.88,0.90
Total,1077556.00,95683.00
