School Year,Total
2006-2007,"15,545"
2007-2008,"18,688"
2008-2009,"24,161"
2009-2010,"30,750"
2010-2011,"39,868"
2011-2012,"48,030"
2012-2013,"59,155"
2013-2014,"72,056"
2014-2015,"84,717"
2015-2016,"95,172"
,
,
